Cluster ID,Count,Percentage,Top Keywords
0.0,6402,8.1624847001224,"cliente, consulta, información, cliente consulta, solicita"
1.0,4354,5.551305589555284,"correo, cliente, tarjeta, consulta, cliente consulta"
2.0,2507,3.196399428804569,"gcx, cliente, ticket, ingresa, ticket gcx"
3.0,7463,9.515248878008977,"cliente, indica, datos, puede, comenta"
4.0,1874,2.3893308853529174,"inactividad, cierra inactividad, cierra, bventura inactividad, bventura"
5.0,7799,9.943645450836392,"cliente, solicita, jgonzalez, jgonzalez cliente, brinda"
6.0,3672,4.681762545899633,"error, cliente, pago, cash, in"
7.0,1043,1.3298143614851081,"seguimiento, iq, seguimiento iq, da seguimiento, da"
8.0,1631,2.0795083639330887,"información, general, información general, respuesta, contesta"
9.0,5792,7.3847409220726234,"cliente, comercio, indica, enterado, compra"
10.0,6429,8.196909424724602,"mrivera, enterado, indica, mparr, info"
11.0,2840,3.620971032231742,"cliente, cambio, numero, indica, solicita"
12.0,1743,2.222307221542228,"reintegro, solicitud, solicitud reintegro, pendiente, reintegro pendiente"
13.0,5078,6.474398204814362,"error, cliente, app, datos, ingresar"
14.0,10839,13.819614443084454,"tarjeta, cliente, datos, indica, solicita"
15.0,1302,1.6600367197062422,"mparr, cierra, mparr cierra, inactividad, cierra inactividad"
16.0,505,0.6438698490412077,"jgonzalez inactividad, inactividad, jgonzalez, jgonzalez cierra, cierra"
17.0,1179,1.5032129742962057,"inactividad, jminero, cierra, jminero inactividad, cierra inactividad"
18.0,4791,6.108476132190942,"cliente, cashback, indica, consulta, brinda"
19.0,1189,1.5159628722970215,"cliente, inactividad, contesta, cliente contesta, contesta inactividad"
